id,pr_nomLabel,nom_de_familleLabel,pays_de_nationalit_Label,date_de_naissance,date_de_mort,identifiant_Fichier_d_autorit__international_virtuel,_cole_des_chartesLabel,occupationLabel,dipl_me_universitaireLabel,distinction_re_ueLabel,domaine_d_activit_Label,th_se_de_doctorat,th_se_de_doctoratLabel
http://www.wikidata.org/entity/Q28559779,Katia,Weidenfeld,France,t1293061586,,19816876,Katia Weidenfeld,historien du droit,,,,,
http://www.wikidata.org/entity/Q2865116,Arthur,,France,1848-02-29T00:00:00Z,1899-11-13T00:00:00.000Z,19746792,,,,,,,
http://www.wikidata.org/entity/Q2156245,Henri,,France,1922-04-19T00:00:00Z,2010-10-19T00:00:00.000Z,90609156,,,,,,,
http://www.wikidata.org/entity/Q36322618,Pierre,,France,1912-05-22T00:00:00Z,2003-07-15T00:00:00.000Z,91840143,,,,,,,
http://www.wikidata.org/entity/Q2408040,Jules,Quicherat,France,1814-10-13T00:00:00Z,1882-04-08T00:00:00.000Z,22272881,Jules Quicherat,archéologue,,officier de la Légion d'honneur,,,
http://www.wikidata.org/entity/Q2408040,Jules,Quicherat,France,1814-10-13T00:00:00Z,1882-04-08T00:00:00.000Z,22272881,Jules Quicherat,historien,,officier de la Légion d'honneur,,,
http://www.wikidata.org/entity/Q3571703,Yann,,France,1971-11-23T00:00:00Z,,89874780,,,,,,,
http://www.wikidata.org/entity/Q2965963,Christine,Nougaret,France,1958-11-23T00:00:00Z,,44309954,Christine Nougaret,historien,,chevalier de la Légion d'honneur‎,,http://www.wikidata.org/entity/Q43397134,Misère et assistance dans le diocèse de Rennes au XVIIIe siècle
http://www.wikidata.org/entity/Q2965963,Christine,Nougaret,France,1958-11-23T00:00:00Z,,44309954,Christine Nougaret,historien,,officier des Arts et des Lettres‎,,http://www.wikidata.org/entity/Q43397134,Misère et assistance dans le diocèse de Rennes au XVIIIe siècle
http://www.wikidata.org/entity/Q2965963,Christine,Nougaret,France,1958-11-23T00:00:00Z,,44309954,Christine Nougaret,historien,,‎chevalier des Arts et des Lettres,,http://www.wikidata.org/entity/Q43397134,Misère et assistance dans le diocèse de Rennes au XVIIIe siècle
